Grades Report for 202501,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
ACCT,3110,8,Intermediate Financial Acct I,24%,26%,29%,8%,11%,0%,0%,3%,0%,"Philo, Annieka C",
ACCT,3110,9,Intermediate Financial Acct I,29%,32%,22%,3%,5%,0%,0%,8%,0%,"Garrison J, David Walter",
ACCT,3110,10,Intermediate Financial Acct I,34%,38%,16%,2%,7%,0%,0%,3%,0%,"Garrison J, David Walter",
ACCT,3120,1,Intermediate Financial Acct II,40%,43%,11%,6%,0%,0%,0%,0%,0%,"Hawkins, James Craig",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Tuesday, June 3, 2025",,,,,,,,,,,,,Page 2 of 126,
Grades Report for 202501,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
ACCT,3120,2,Intermediate Financial Acct II,35%,24%,26%,6%,3%,0%,0%,6%,0%,"Hawkins, James Craig",
ACCT,3120,3,Intermediate Financial Acct II,48%,33%,12%,3%,0%,0%,0%,3%,0%,"Knause, Terry Daniel",
ACCT,3120,4,Intermediate Financial Acct II,33%,37%,17%,3%,0%,0%,0%,10%,0%,"Knause, Terry Daniel",
ACCT,3120,5,Intermediate Financial Acct II,54%,34%,11%,0%,0%,0%,0%,0%,0%,"Knause, Terry Daniel",
ACCT,3120,6,Intermediate Financial Acct II,37%,26%,34%,0%,0%,0%,0%,3%,0%,"Knause, Terry Daniel",
ACCT,3120,7,Intermediate Financial Acct II,27%,73%,0%,0%,0%,0%,0%,0%,0%,"Cussatt, Marc A",
ACCT,3120,8,Intermediate Financial Acct II,36%,39%,18%,4%,4%,0%,0%,0%,0%,"Cussatt, Marc A",
ACCT,3120,104,Intermediate Financial Acct II,56%,33%,11%,0%,0%,0%,0%,0%,0%,"Knause, Terry Daniel",H
ACCT,3120,107,Intermediate Financial Acct II,26%,45%,26%,0%,0%,0%,0%,3%,0%,"Cussatt, Marc A",
ACCT,3130,1,Analytics for Acct Dec Making,49%,49%,3%,0%,0%,0%,0%,0%,0%,"Hawk, Holly Rhiannion",
ACCT,3130,2,Analytics for Acct Dec Making,54%,37%,9%,0%,0%,0%,0%,0%,0%,"Hawk, Holly Rhiannion",
ACCT,3130,3,Analytics for Acct Dec Making,47%,50%,3%,0%,0%,0%,0%,0%,0%,"Hawk, Holly Rhiannion",
ACCT,3130,4,Analytics for Acct Dec Making,37%,43%,14%,0%,0%,0%,0%,6%,0%,"Mammadov, Babak",
ACCT,3130,5,Analytics for Acct Dec Making,26%,38%,26%,3%,3%,0%,0%,3%,0%,"Mammadov, Babak",
ACCT,3130,6,Analytics for Acct Dec Making,22%,61%,11%,3%,3%,0%,0%,0%,0%,"Barnes, James D",
ACCT,3130,7,Analytics for Acct Dec Making,33%,52%,7%,2%,0%,0%,0%,2%,2%,"Barnes, James D",
ACCT,3130,8,Analytics for Acct Dec Making,31%,56%,13%,0%,0%,0%,0%,0%,0%,"Barnes, James D",
ACCT,3220,1,Accounting Information Systems,46%,36%,15%,0%,0%,0%,0%,3%,0%,"Krupa, Nicholas R.",
ACCT,3220,2,Accounting Information Systems,43%,40%,13%,3%,3%,0%,0%,0%,0%,"Krupa, Nicholas R.",
ACCT,3220,3,Accounting Information Systems,26%,38%,31%,5%,0%,0%,0%,0%,0%,"Krupa, Nicholas R.",
ACCT,3220,400,Accounting Information Systems,52%,42%,6%,0%,0%,0%,0%,0%,0%,"Hawk, Holly Rhiannion",
ACCT,4040,1,Individual Taxation,23%,23%,40%,8%,0%,0%,0%,8%,0%,"Ledbetter, John Howard",
ACCT,4040,2,Individual Taxation,35%,33%,25%,8%,0%,0%,0%,0%,0%,"Ledbetter, John Howard",
ACCT,4040,3,Individual Taxation,35%,35%,28%,3%,0%,0%,0%,0%,0%,"Ledbetter, John Howard",
ACCT,4040,4,Individual Taxation,47%,20%,20%,10%,0%,0%,0%,3%,0%,"Gardner, Jesse",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Tuesday, June 3, 2025",,,,,,,,,,,,,Page 3 of 126,
Grades Report for 202501,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
ACCT,4040,5,Individual Taxation,15%,30%,33%,13%,3%,0%,0%,5%,3%,"Gardner, Jesse",
ACCT,4040,104,Individual Taxation,80%,10%,0%,0%,0%,0%,0%,10%,0%,"Gardner, Jesse",H
ACCT,4100,1,Reporting and Mgmt Control Sys,40%,48%,13%,0%,0%,0%,0%,0%,0%,"McPhee, Gregory Patrick",
ACCT,4100,2,Reporting and Mgmt Control Sys,45%,43%,12%,0%,0%,0%,0%,0%,0%,"Garrett, Jace B",
ACCT,4100,3,Reporting and Mgmt Control Sys,30%,50%,20%,0%,0%,0%,0%,0%,0%,"McPhee, Gregory Patrick",
ACCT,4150,1,Auditing,31%,44%,23%,3%,0%,0%,0%,0%,0%,"Harp, Nancy Lee",
ACCT,4150,2,Auditing,34%,46%,17%,3%,0%,0%,0%,0%,0%,"Harp, Nancy Lee",
ACCT,4150,3,Auditing,29%,44%,26%,0%,0%,0%,0%,0%,0%,"Harp, Nancy Lee",
ACCT,8520,1,Fin Acct Theory/Res,91%,9%,0%,0%,0%,0%,0%,0%,0%,"Goodson, Brian Matthew",
ACCT,8520,2,Fin Acct Theory/Res,82%,18%,0%,0%,0%,0%,0%,0%,0%,"Goodson, Brian Matthew",
ACCT,8540,1,Prof Responsibility,45%,53%,3%,0%,0%,0%,0%,0%,0%,"Pearse, Suzanne",
ACCT,8550,1,Gov't and Nonprofit Accounting,48%,48%,4%,0%,0%,0%,0%,0%,0%,"Barnes, James D",
ACCT,8550,2,Gov't and Nonprofit Accounting,38%,52%,10%,0%,0%,0%,0%,0%,0%,"Barnes, James D",
ACCT,8560,1,CPA Exam Review-A,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Davis-Culler, Phebian L",
ACCT,8590,1,CPA Exam Review-R,0%,0%,0%,0%,0%,97%,1%,0%,2%,"Davis-Culler, Phebian L",
ACCT,8650,1,Tax & Bus Decisions,58%,29%,13%,0%,0%,0%,0%,0%,0%,"Dalton, Derek W.",
