Grades Report for 202001,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ACCT,3110,6,Intermediate Financial Acc,23%,29%,6%,0%,0%,0%,0%,6%,0%,35%,0%,0%,Philo Annieka C,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Monday, September 21, 2020",,,,,,,,,,,,,,,,Page 2 of 133,
Grades Report for 202001,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ACCT,3110,7,Intermediate Financial Acc,21%,42%,0%,3%,0%,0%,0%,6%,0%,24%,0%,3%,Goodson Brian,
,,,,,,,,,,,,,,,,Matthew,
ACCT,3110,8,Intermediate Financial Acc,18%,55%,6%,0%,0%,0%,0%,3%,0%,18%,0%,0%,Goodson Brian,
,,,,,,,,,,,,,,,,Matthew,
ACCT,3120,1,Intermediate Financial Acc,47%,7%,7%,0%,0%,0%,0%,0%,0%,27%,0%,13%,Knause Terry Daniel,
ACCT,3120,2,Intermediate Financial Acc,30%,44%,0%,0%,0%,0%,0%,0%,0%,22%,4%,0%,Knause Terry Daniel,
ACCT,3120,3,Intermediate Financial Acc,37%,27%,10%,0%,0%,0%,0%,0%,0%,27%,0%,0%,Knause Terry Daniel,
ACCT,3120,4,Intermediate Financial Acc,37%,34%,3%,0%,0%,0%,0%,3%,0%,23%,0%,0%,Madray J Russell,
ACCT,3120,5,Intermediate Financial Acc,36%,50%,5%,0%,0%,0%,0%,0%,0%,9%,0%,0%,Madray J Russell,
ACCT,3120,6,Intermediate Financial Acc,31%,17%,0%,3%,0%,0%,0%,3%,0%,34%,7%,3%,Knause Terry Daniel,
ACCT,3130,1,Analytics for Acct Dec Mak,76%,24%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Barnes James D,
ACCT,3130,2,Analytics for Acct Dec Mak,83%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Barnes James D,
ACCT,3130,3,Analytics for Acct Dec Mak,19%,25%,0%,0%,0%,0%,0%,13%,0%,25%,0%,19%,Davis-Culler Phebian,
,,,,,,,,,,,,,,,,L,
ACCT,3130,4,Analytics for Acct Dec Mak,7%,14%,14%,0%,3%,0%,0%,7%,0%,38%,3%,14%,Davis-Culler Phebian,
,,,,,,,,,,,,,,,,L,
ACCT,3130,5,Analytics for Acct Dec Mak,42%,27%,4%,4%,0%,0%,0%,4%,0%,15%,0%,4%,Mammadov Babak,
ACCT,3220,1,Accounting Information Sy,4%,12%,12%,4%,8%,0%,0%,20%,0%,32%,8%,0%,Maiberger Philip A,
